0x26e	0x6fdde03
0x2eb	0x95ea7b3
0x32b	0xcb285e2
0x34a	0x18160ddd
0x364	0x202b1760
0x38a	0x20606b70
0x392	0x23b872dd
0x3c8	0x282d3fdf
0x3f4	0x313ce567
0x412	0x355274ea
0x41a	0x39509351
0x446	0x3a1aae35
0x44e	0x40c10f19
0x47a	0x4b0ee02a
0x4a0	0x587cde1e
0x4e2	0x5a46d3b5
0x508	0x5c19a95c
0x52e	0x66fc237b
0x536	0x674f220f
0x53e	0x6fcfff45
0x57d	0x70a08231
0x5a3	0x715018a6
0x5ab	0x782d6fe1
0x5d7	0x7ecebe00
0x5fd	0x89a2867c
0x623	0x8da5cb5b
0x62b	0x8e875e1a
0x633	0x9358928b
0x63b	0x95d89b41
0x643	0xa3a7e7f3
0x669	0xa457c2d7
0x695	0xa69df4b5
0x69d	0xa9059cbb
0x6c9	0xa90fa603
0x6ef	0xb4b5ea57
0x715	0xc38533c6
0x732	0xc3cda520
0x779	0xca5c7b91
0x781	0xdd62ed3e
0x7af	0xe7a324dc
0x7b7	0xf1127ed8
0x809	0xf2fde38b
0x82f	0xfd3d27b8
0x4e1e	0x00000000
