0x4ca	0x5d0
0xad2	0xb56
0xb66	0xc1b
0xc20	0xca6
0xce1	0xcfa
0xcfe	0xd60
0xd6a	0xdcc
0xdd6	0xde5
0xdeb	0xdfa
0xe00	0xe21
0xe2a	0xe4b
0xe54	0xe63
0xe69	0xe78
0xe7e	0xe8d
0xe93	0xeb3
0xebc	0xeee
0xef8	0xf30
0xf39	0xf71
0xf7a	0xf9a
0xfa3	0xfc3
0xfe4	0xfed
0x1002	0x1053
0x108d	0x10bb
0x112f	0x1179
0x1195	0x11aa
0x11b0	0x11ca
0x11d2	0x11e7
0x11ed	0x1202
0x1208	0x121d
0x1223	0x123c
0x1243	0x125c
0x1263	0x127c
0x1283	0x129d
0x12a5	0x12ba
0x12c0	0x12d6
0x12e5	0x1300
0x1366	0x1366
0x13ab	0x13b6
0x13bd	0x13bd
0x13c9	0x13c9
0x13e9	0x13e9
0x13f3	0x13fe
0x1405	0x1410
0x1417	0x1422
0x1429	0x1434
0x14c9	0x1507
0x1570	0x1570
0x1648	0x165c
0x165f	0x1673
0x1676	0x168a
0x6c3	0x211e8
0x143b	0x2120a
0x6c3	0x2122f
0x143b	0x21251
