0x9	0x139
0x1a	0xab
0x25	0x6f
0x6b	0x787e
0xa7	0x78a2
0xb3	0xfd
0xf9	0x78c6
0x135	0x78ea
0x13b	0x790e
0x149	0x151
0x153	0x15a
0x156	0x51b
0x160	0x168
0x16a	0x171
0x175	0x17e
0x18b	0x193
0x195	0x1ae
0x1a0	0x1a9
0x1aa	0x65f
0x1b2	0x1bb
0x1c8	0x1d0
0x1d2	0x1d9
0x1d5	0x67d
0x1dd	0x1e6
0x1f3	0x1fb
0x1fd	0x216
0x208	0x211
0x212	0x68f
0x21c	0x224
0x226	0x23f
0x231	0x23a
0x23b	0x77f
0x243	0x24c
0x259	0x261
0x263	0x26a
0x266	0x858
0x26e	0x277
0x284	0x28c
0x28e	0x2a7
0x299	0x2a2
0x2a3	0x86f
0x2ad	0x2b5
0x2b7	0x2d0
0x2c2	0x2cb
0x2cc	0x9b8
0x2d6	0x2de
0x2e0	0x2f9
0x2eb	0x2f4
0x2f5	0xaa8
0x2ff	0x307
0x309	0x322
0x314	0x31d
0x31e	0xb87
0x326	0x32f
0x33c	0x344
0x346	0x35f
0x351	0x35a
0x363	0x36c
0x379	0x381
0x383	0x39c
0x38e	0x397
0x398	0xc26
0x3a2	0x3aa
0x3ac	0x3b3
0x3af	0xd57
0x3b7	0x3c0
0x3cd	0x3d5
0x3d7	0x3de
0x3e2	0x3eb
0x3f8	0x400
0x402	0x409
0x40d	0x416
0x423	0x42b
0x42d	0x446
0x438	0x441
0x442	0xeb0
0x44a	0x453
0x460	0x468
0x46a	0x471
0x46d	0xece
0x475	0x47e
0x48b	0x493
0x495	0x49c
0x4a2	0x4aa
0x4ac	0x4c5
0x4b7	0x4c0
0x4c1	0x1092
0x4c9	0x4d2
0x4df	0x4e7
0x4e9	0x4f0
0x4f6	0x4fe
0x500	0x519
0x50b	0x514
0x515	0x164c
0x553	0x55a
0x572	0x5b0
0x59f	0x5a7
0x662	0x673
0x665	0x66c
0x6c7	0x6ce
0x6e6	0x724
0x713	0x71b
0x782	0x78c
0x78d	0x84d
0x791	0x798
0x799	0x848
0x7f7	0x7fe
0x8a7	0x8ae
0x8c6	0x904
0x8f3	0x8fb
0x908	0x91e
0x921	0x95f
0x94e	0x956
0x960	0x976
0x9a4	0x9ad
0x9f0	0x9f7
0xa0f	0xa4d
0xa3c	0xa44
0xae0	0xae7
0xaff	0xb3d
0xb2c	0xb34
0xc5e	0xc65
0xc7d	0xcbb
0xcaa	0xcb2
0xd92	0xd99
0xdb1	0xdef
0xdde	0xde6
0xeb3	0xec4
0xeb6	0xebd
0xf09	0xf10
0xf28	0xf66
0xf55	0xf5d
0x169c	0x16da
0x16c9	0x16d1
0x17c5	0x17d1
0x17cd	0x46934
0x17d6	0x17df
0x17db	0x3627
0x17e5	0x17ee
0x17f0	0x182e
0x181d	0x1825
0x183c	0x187b
0x1907	0x1945
0x1934	0x193c
0x1977	0x19b5
0x19a4	0x19ac
0x1a8a	0x1a93
0x1ad2	0x1b10
0x1aff	0x1b07
0x1b42	0x1b80
0x1b6f	0x1b77
0x1b85	0x1bc3
0x1bb2	0x1bba
0x1c14	0x1c67
0x1c6a	0x1cbd
0x1cbe	0x1cc6
0x1cd8	0x205a
0x1d2e	0x1d84
0x1d87	0x1d9c
0x1d9e	0x2059
0x1e17	0x1e22
0x1e34	0x1e3c
0x1e43	0x1e50
0x1e6b	0x1e74
0x1e76	0x1eb4
0x1ea3	0x1eab
0x1f2a	0x1f35
0x1f47	0x1f4f
0x1f56	0x1f63
0x1f7e	0x1f87
0x1f89	0x1fc7
0x1fb6	0x1fbe
0x201b	0x2026
0x2038	0x2040
0x2047	0x2054
0x205b	0x2063
0x2065	0x207f
0x206c	0x2074
0x2076	0x207e
0x2082	0x208b
0x208d	0x20dd
0x20a1	0x20a9
0x20aa	0x20b3
0x20b5	0x20c8
0x20bf	0x20c7
0x20c9	0x20d1
0x20d4	0x20dc
0x20de	0x20e9
0x20e5	0x2548
0x20f8	0x2137
0x2125	0x212e
0x213d	0x2146
0x2142	0x3681
0x220d	0x46959
0x226e	0x2275
0x22a7	0x22e3
0x22ac	0x22b3
0x22e6	0x4697f
0x2339	0x469a6
0x23eb	0x2442
0x2445	0x5e473
0x24a4	0x24cc
0x24aa	0x24be
0x24d1	0x24f9
0x24d7	0x24eb
0x24fc	0x250e
0x251a	0x2522
0x2525	0x252d
0x252f	0x5e49a
0x2533	0x253b
0x2537	0x2874
0x253c	0x2543
0x254b	0x255d
0x2560	0x25b1
0x25f5	0x2646
0x268a	0x26db
0x2772	0x277b
0x2790	0x2799
0x2795	0x35a0
0x27a0	0x27de
0x27cd	0x27d5
0x27fe	0x2855
0x2858	0x5e4bd
0x28a0	0x28d2
0x28e8	0x2900
0x290c	0x293e
0x29d8	0x29e0
0x29e7	0x29f4
0x2a0f	0x2a18
