0x225	0x00000000
0x22a	0x1ffc9a7
0x25f	0x6fdde03
0x281	0x81812fc
0x2b9	0x95ea7b3
0x2db	0x162094c4
0x2fb	0x18160ddd
0x31a	0x23b872dd
0x33a	0x2f745c59
0x35a	0x34eafb11
0x370	0x3f3c1136
0x39d	0x42842e0e
0x3bd	0x42966c68
0x3dd	0x4f6ccce7
0x3fd	0x521eb273
0x41d	0x524773ce
0x433	0x55f804b3
0x453	0x6352211e
0x473	0x67765b87
0x489	0x68e24327
0x4a9	0x6c0360eb
0x4be	0x70a08231
0x4de	0x715018a6
0x4f3	0x8da5cb5b
0x511	0x95d89b41
0x526	0x9670cf39
0x53b	0x98b9a2dc
0x55b	0xa035b1fe
0x571	0xa1448194
0x591	0xa22cb465
0x5b1	0xa2309ff8
0x5c7	0xa2b40d19
0x5e7	0xb88d4fde
0x607	0xc87b56dd
0x627	0xdcd9ab55
0x63a	0xe6fd2982
0x650	0xe985e9c5
0x670	0xece2cefe
0x685	0xf2fde38b
