0x693	0x6c3
0x777	0x777
0x7b5	0x88b
0x892	0x8bb
0x952	0xa08
0xb0d	0xb35
0xb51	0xb9a
0xdca	0xdca
0x1127	0x1127
0x1332	0x1332
0x134f	0x134f
0x1353	0x1388
0x1446	0x1512
0x1573	0x1573
0x18b1	0x19c1
0x1d48	0x1d9f
0x1dcf	0x1e11
0x1e32	0x1e5b
0x1e64	0x1e8f
0x1e9f	0x1f0c
0x1f18	0x1f47
0x1f52	0x1f6d
0x1f7b	0x1fd8
0x2062	0x2073
0x207a	0x2092
0x20d5	0x20d5
0x20d8	0x20d8
0x20ec	0x211f
0x2129	0x2161
0x216d	0x216d
0x220d	0x220d
0x2357	0x2357
0x257b	0x257b
0x2646	0x2646
0x277e	0x277e
0x2852	0x2852
0x285b	0x286e
0x2873	0x2882
0x28a6	0x28b8
0x28bd	0x28e1
0x28e9	0x291e
0x2924	0x2938
0x6df	0x48f5c
0x77d	0x48fa8
0x937	0x49044
0xa74	0x490b8
0xbf8	0x53b1e
0xe32	0x53c9c
0xfe8	0x53d34
0x1027	0x53d81
0x10aa	0x53dcf
0x1167	0x53e66
0x11d5	0x53f50
0x13c1	0x68e27
0x13c1	0x68e4e
0x15c5	0x68ec5
0x15d1	0x68eeb
0x15dd	0x68f11
0x1659	0x68f5d
0x1665	0x68f83
0x167f	0x68fa6
0x16c1	0x6903e
0x16c1	0x69062
0x69089	0x69089
0x17f5	0x690ad
0x17f5	0x690d1
0x17f5	0x690f5
0x187e	0x69119
0x18b1	0x6918d
0x1caf	0x69204
0x1d33	0x69227
0x1db8	0x6924a
0x1e18	0x6926e
0x1fe4	0x69294
0x2000	0x692ba
0x201c	0x692e0
0x2178	0x69307
0x28bd	0x6932d
0x2995	0x69352
0x1027	0x693c1
0x5d4	0x6968f
0x5d4	0x696b3
0xaca	0x696d7
0x12f2	0x696fb
0x12f2	0x6971f
0x601	0x48e6e0x601
0xe1d	0x48e6e0xe1d
0x16b2	0x48e6e0x16b2
0x601	0x48e970x601
0xe1d	0x48e970xe1d
0x16b2	0x48e970x16b2
0x601	0x693980x601
0xe1d	0x693980xe1d
0x16b2	0x693980x16b2
