0x466	0x7aa091
0x49b	0x5dd686f
0x4bd	0x19e82d86
0x4ed	0x24a3b013
0x50b	0x27e235e3
0x539	0x2b0e16bf
0x565	0x2b711051
0x587	0x35a063b4
0x599	0x3714e274
0x5ab	0x3cc71c3f
0x5d7	0x3feb5f2b
0x606	0x47002c6d
0x628	0x57607ddd
0x64a	0x590e1ae3
0x65c	0x5ed49e9b
0x688	0x640708d6
0x6aa	0x66bc0d6d
0x6bc	0x6d5433e6
0x6e4	0x705791f2
0x708	0x79ba5097
0x71a	0x7ae2b5c7
0x742	0x82bfefc8
0x76e	0x8843c222
0x790	0x8da5cb5b
0x7bc	0x91aaf2e9
0x7ea	0x96ec7114
0x80c	0x9a701075
0x82e	0x9b11503e
0x850	0xad475113
0x87c	0xbb10b2f1
0x89e	0xbbc2fcf5
0x8c0	0xbc60878e
0x8e2	0xc19d93fb
0x994	0xd16865a3
0x9c0	0xd4ee1d90
0x9ec	0xd57a0577
0xa30	0xeca0be47
0xa5c	0xf2fde38b
0xa7a	0xf8c3a293
0xa9c	0xfe4caa64
0xac0	0xffa1ad74
0x6f738	0xc5d22e94
0x78f72	0xdfee6348
