0xe8	0x05d2035b	mintingFinished()
0x10f	0x06fdde03	name()
0x19a	0x095ea7b3	approve(address,uint256)
0x1d0	0x18160ddd	totalSupply()
0x1f5	0x23b872dd	transferFrom(address,address,uint256)
0x231	0x313ce567	decimals()
0x256	0x40c10f19	mint(address,uint256)
0x28c	0x66188463	decreaseApproval(address,uint256)
0x2c2	0x70a08231	balanceOf(address)
0x2f3	0x7d64bcb4	finishMinting()
0x31a	0x8da5cb5b	owner()
0x349	0x95d89b41	symbol()
0x3d4	0xa9059cbb	transfer(address,uint256)
0x40a	0xd73dd623	increaseApproval(address,uint256)
0x440	0xdd62ed3e	allowance(address,address)
0x477	0xf2fde38b	transferOwnership(address)
