0x13e	0x1a8
0x1ba	0x1c2
0x1c5	0x1cd
0x1d5	0x41e
0x1dd	0x1ef
0x20f	0x21c
0x264	0x359
0x29f	0x2a4
0x2b7	0x313
0x2c5	0x2ca
0x2dd	0x30e
0x2eb	0x2f00x11c
0x30f	0xdf80x11c
0x31c	0x321
0x355	0x25e
0x367	0x41e
0x36b	0x39f
0x37d	0x382
0x39d	0xe2e0x11c
0x3a2	0x413
0x3b4	0x3b9
0x3d3	0x3d8
0x402	0x40b
0x41a	0x35e
0x424	0x93c
0x42f	0x46b
0x4b2	0x51c
0x55b	0x56a
0x5b0	0x5b9
0x5bb	0x722
0x5bf	0x5f8
0x5ee	0xe3b
0x609	0x61b
0x61e	0x640
0x643	0x676
0x664	0x672
0x678	0x722
0x6a6	0x6c2
0x6ac	0x1fa58
0x6dd	0x6ea
0x750	0x75a
0x75c	0x82d
0x760	0x791
0x766	0x1fa83
0x772	0x777
0x78f	0xe420x11c
0x829	0x741
0x82e	0x845
0x834	0x1faae
0x848	0x85f
0x84e	0x1fad9
0x862	0x878
0x868	0x1fb04
0x917	0x92a
0x945	0x94c
0x94e	0x958
0x99b	0x9a3
0x9a5	0x1fb2f
0x9a8	0xe80
0x9c2	0x9ca
0x9cc	0x1fb60
0x9cf	0xe86
0x9f3	0x9fb
0x9fd	0x1fb9b
0xa0c	0xe95
0xa14	0xa1c
0xa1e	0x1fbcc
0xa21	0xeb3
0xa29	0xa31
0xa33	0x1fbfd
0xa36	0xeb8
0xa3e	0xa46
0xa48	0x1fc2e
0xa4b	0xebe
0xa53	0xa5b
0xa5d	0x1fc5f
0xa60	0xec4
0xa68	0xa70
0xa72	0xa85
0xaae	0xac1
0xabd	0xaa9
0xad9	0xae1
0xae3	0x1fc9a
0xae6	0xed3
0xaee	0xaf6
0xaf8	0x1fcd5
0xafb	0xee2
0xb03	0xb0b
0xb0d	0x1fd06
0xb13	0xee7
0xb1b	0xb23
0xb25	0xb38
0xb34	0xf06
0xb64	0xb6c
0xb6e	0x1fd37
0xb71	0xf31
0xb79	0xb81
0xb83	0x1fd68
0xb86	0xf36
0xb8e	0xb96
