0x8	0x10
0x27	0x97
0x32	0x66
0x62	0x310c
0x93	0x3130
0x9f	0xd3
0xcf	0x3154
0xfb	0x102
0x12c	0x142
0x13e	0x127
0x152	0x16f
0x17e	0x1c9
0x18b	0x193
0x1c5	0x674
0x1e4	0x1eb
0x202	0x209
0x220	0x28b
0x22d	0x235
0x287	0x6ab
0x2a6	0x2ad
0x2ca	0x315
0x2d7	0x2df
0x311	0x79b
0x330	0x337
0x333	0x84e
0x33a	0x37b
0x347	0x34f
0x377	0xadf
0x392	0x3d3
0x39f	0x3a7
0x3cf	0xb27
0x3ee	0x3f5
0x41f	0x435
0x431	0x41a
0x445	0x462
0x471	0x4bc
0x47e	0x486
0x4b8	0xc26
0x4d7	0x522
0x4e4	0x4ec
0x51e	0xcf3
0x53d	0x544
0x55b	0x5bc
0x568	0x570
0x5b8	0xd4f
0x677	0x688
0x67a	0x681
0x695	0x69c
0x6ae	0x6b8
0x6b9	0x779
0x6bd	0x6c4
0x6c5	0x774
0x723	0x72a
0x79e	0x844
0x7a1	0x7a8
0x7aa	0x83f
0x7b2	0x7b9
0x8a3	0x914
0x917	0x91e
0x925	0x996
0x999	0x9cf
0x99c	0x9a3
0x9aa	0x9c1
0x9d3	0x9da
0x9dd	0xa4e
0xaa7	0xabf
0xaab	0xab2
0xabb	0x1541
0xac0	0xad5
0xc29	0xce9
0xc2c	0xc33
0xc35	0xce4
0xc56	0xc5d
0xcf6	0xd07
0xcf9	0xd00
0xd14	0xd4a
0xd17	0xd1e
0xd25	0xd3c
0xe10	0xe64
0xe96	0xeea
0x1061	0x10b5
0x10e7	0x113b
0x113c	0x1146
0x1147	0x11b1
0x11f4	0x1244
0x12f9	0x139d
0x134c	0x1362
0x135e	0x1347
0x1372	0x138f
0x13b7	0x1428
0x1438	0x14a9
0x14ad	0x14b2
0x14c2	0x14ce
0x14ca	0x1a30c
0x14da	0x14df
0x14e2	0x1536
0x1573	0x15e4
0x15e5	0x15f0
0x15f1	0x1605
0x160c	0x165c
0x62d0	0x127
0x6cd0	0x16f
0x76d0	0x41a
0x80d0	0x462
0xbcd0	0x1347
0xc6d0	0x138f
0xd0d0	0x1a3c9
0x347bc	0x47dbc
0x351bc	0x455bc
0x35bbc	0x45fbc
0x365bc	0x469bc
0x36fbc	0x473bc
0x379bc	0x42dbc
0x383bc	0x437bc
0x38dbc	0x441bc
0x397bc	0x44bbc
0x3a1bc	0x405bc
0x3abbc	0x40fbc
0x3b5bc	0x419bc
0x3bfbc	0x423bc
0x3c9bc	0x3e7bc
0x3d3bc	0x3f1bc
0x3ddbc	0x3fbbc
0x63bV0xfa	0x1a229B0xfa
0x620V0xfa	0x1a200B0xfa
0x8ad0V0xfa	0x64dB0xfa
0x65dV0xfa	0x64dB0xfa
0x628V0xfa	0x63fB0xfa
0x94d0V0xfa	0x1a355B0xfa
0xbedV0x3ed	0x1a27bB0x3ed
0xbd2V0x3ed	0x1a252B0x3ed
0x9ed0V0x3ed	0xbffB0x3ed
0xc0fV0x3ed	0xbffB0x3ed
0xbdaV0x3ed	0xbf1B0x3ed
0xa8d0V0x3ed	0x1a37eB0x3ed
0xff1V0x692	0x1a2a4B0x692
0xfd8V0x692	0xfdfB0x692
0xfe0V0x692	0xfe7B0x692
0xfe9V0x692	0xff5B0x692
0xff8V0x692	0x100dB0x692
0x1016V0x692	0x1026B0x692
0xb2d0V0x692	0x1a3a7B0x692
0x1022V0x692	0x1a2c6B0x692
