0x0	0x0
0x8	0x8
0x1f	0x1f
0x1f	0xe0
0x1f	0x26
0x1f	0x31
0x1f	0x3c
0x1f	0x47
0x1f	0x52
0x1f	0x5d
0x1f	0x68
0x1f	0x73
0x1f	0x83
0x1f	0x8e
0x1f	0x99
0x1f	0xa4
0x1f	0xb4
0x1f	0xbf
0x1f	0xca
0x1f	0xd5
0x1f	0xeb
0x1f	0xfb
0x1f	0x106
0x1f	0x111
0x1f	0x11c
0x1f	0x12c
0x1f	0x137
0x1f	0x142
0x1f	0x14d
0x1f	0x158
0x1f	0x163
0x1f	0x16e
0x1f	0x17e
0x1f	0x189
0x1f	0x194
0x1f	0x19f
0x1f	0x1af
0x1f	0x1ba
0x1f	0x1c5
0x1f	0x1d0
0x1f	0x1db
0x1f	0x1eb
0x1f	0x1f6
0x1f	0x201
0x1f	0x20c
0x2	0x2
0xe0	0xe0
0xa00	0xa00
0x5	0x5
0x5	0x7
0x7	0x7
0xc	0xc
0x12	0x12
0x12	0x15
0x14	0x14
0x14	0x15
0x15	0x15
0x1a	0x1a
0x1c	0x1f
0x1c	0xe0
0x1c	0x1c
0x1c	0x26
0x1c	0x31
0x1c	0x3c
0x1c	0x47
0x1c	0x52
0x1c	0x5d
0x1c	0x68
0x1c	0x73
0x1c	0x83
0x1c	0x8e
0x1c	0x99
0x1c	0xa4
0x1c	0xb4
0x1c	0xbf
0x1c	0xca
0x1c	0xd5
0x1c	0xeb
0x1c	0xfb
0x1c	0x106
0x1c	0x111
0x1c	0x11c
0x1c	0x12c
0x1c	0x137
0x1c	0x142
0x1c	0x14d
0x1c	0x158
0x1c	0x163
0x1c	0x16e
0x1c	0x17e
0x1c	0x189
0x1c	0x194
0x1c	0x19f
0x1c	0x1af
0x1c	0x1ba
0x1c	0x1c5
0x1c	0x1d0
0x1c	0x1db
0x1c	0x1eb
0x1c	0x1f6
0x1c	0x201
0x1c	0x20c
0x1d	0x1f
0x1d	0xe0
0x1d	0x1d
0x1d	0x26
0x1d	0x31
0x1d	0x3c
0x1d	0x47
0x1d	0x52
0x1d	0x5d
0x1d	0x68
0x1d	0x73
0x1d	0x83
0x1d	0x8e
0x1d	0x99
0x1d	0xa4
0x1d	0xb4
0x1d	0xbf
0x1d	0xca
0x1d	0xd5
0x1d	0xeb
0x1d	0xfb
0x1d	0x106
0x1d	0x111
0x1d	0x11c
0x1d	0x12c
0x1d	0x137
0x1d	0x142
0x1d	0x14d
0x1d	0x158
0x1d	0x163
0x1d	0x16e
0x1d	0x17e
0x1d	0x189
0x1d	0x194
0x1d	0x19f
0x1d	0x1af
0x1d	0x1ba
0x1d	0x1c5
0x1d	0x1d0
0x1d	0x1db
0x1d	0x1eb
0x1d	0x1f6
0x1d	0x201
0x1d	0x20c
0x21	0x21
0x21	0x26
0x26	0x26
0x27	0x27
0x2c	0x2c
0x2c	0x31
0x31	0x31
0x32	0x32
0x37	0x37
0x37	0x3c
0x3c	0x3c
0x3d	0x3d
0x42	0x42
0x42	0x47
0x47	0x47
0x4d	0x4d
0x4d	0x52
0x52	0x52
0x58	0x58
0x58	0x5d
0x5d	0x5d
