0x211	0x00000000
0x216	0x66466d5
0x232	0x77af096
0x25d	0x24439adc
0x26f	0x49cbe332
0x282	0x5306a1d4
0x28b	0x5c592544
0x29e	0x5e39a6f1
0x2a7	0x65a916ca
0x2b0	0x65beab15
0x2b9	0x6f9fb98a
0x2c1	0x7099182d
0x2ca	0x7238a503
0x2d4	0x75f0a874
0x2e7	0x814d23f8
0x2f0	0x863e76db
0x2f9	0x87469acd
0x301	0x884b51f3
0x309	0x88718397
0x312	0x8da5cb5b
0x325	0x99621972
0x32d	0x9f174c6f
0x33f	0xa14779c9
0x352	0xaa9b3934
0x364	0xaf67d80b
0x36c	0xb6fd82b5
0x374	0xc13f124e
0x387	0xc58b3e26
0x390	0xc83280e7
0x399	0xcf9483ad
0x3ab	0xd93a38a9
0x3b4	0xe7d928e7
0x3c6	0xea503429
0x3d9	0xecfd1d14
0x3e2	0xf42c0f02
0x3f4	0xfa603df8
