0x8	0x10
0x27	0x66
0x62	0x9be
0x99	0x3ba8
0x9c	0x1f5
0x116	0x4eec
0x130	0x4f1d
0x133	0x29d
0x154	0x15b
0x172	0x4f58
0x175	0x2fb
0x17a	0x4f93
0x187	0x18f
0x19b	0x30a
0x1a0	0x4fc4
0x1a3	0x38a
0x1a8	0x6308
0x1b5	0x1bd
0x1c9	0x3aa
0x1d0	0x6329
0x1dd	0x1e5
0x1f1	0x419
0x350	0x358
0x35f	0x36c
0x37a	0x382
0x3b9	0x3f7
0x428	0x466
0x4eac	0xc20x98
0x62c8	0xc20x19f
0xc674	0x18474
0xd074	0x15274
0xda74	0x15c74
0xe474	0x16674
0xee74	0x17074
0xf874	0x17a74
0x10274	0x12a74
0x10c74	0x13474
0x11674	0x13e74
0x12074	0x14874
0x980x1da4	0x1070x98
0x19f0x1da4	0x1070x19f
0x980xea	0x1070x98
0x19f0xea	0x1070x19f
0x980xd6	0xc20x98
0x19f0xd6	0xc20x19f
0x980xc7	0xda0x98
0x19f0xc7	0xda0x19f
0x264V0x115	0x26c0x21dB0x115
0x21d0x273V0x115	0x2800x21dB0x115
0x21d0x28eV0x115	0x2960x21dB0x115
0x2f3V0x153	0x26c0x2acB0x153
0x2ac0x273V0x153	0x2800x2acB0x153
0x2ac0x28eV0x153	0x2960x2acB0x153
