0x213	0x00000000
0x218	0x1ffc9a7
0x240	0x6fdde03
0x255	0x81812fc
0x280	0x95ea7b3
0x295	0xe99990d
0x2a8	0x18160ddd
0x2ba	0x20606b70
0x2e1	0x23b872dd
0x2f4	0x2d02f8c1
0x307	0x2f745c59
0x31a	0x313ce567
0x334	0x339955e1
0x347	0x379607f5
0x35a	0x42842e0e
0x36d	0x4f6ccce7
0x380	0x587cde1e
0x393	0x5c19a95c
0x3a6	0x6352211e
0x3b9	0x67209aa8
0x3cc	0x6fcfff45
0x407	0x70a08231
0x41a	0x715018a6
0x422	0x782d6fe1
0x44d	0x7ecebe00
0x46d	0x8da5cb5b
0x475	0x95d89b41
0x47d	0x9bdc1b69
0x490	0x9e41b73f
0x4a3	0xa22cb465
0x4b6	0xb4b5ea57
0x4c9	0xb88d4fde
0x4dc	0xc08a5dd5
0x4ef	0xc3cda520
0x502	0xc87b56dd
0x515	0xd47f269e
0x528	0xdf7ebb7b
0x53b	0xe7a324dc
0x562	0xe9580e91
0x575	0xe985e9c5
0x588	0xf1127ed8
0x5ef	0xf2fde38b
