0x0	__function_selector__
0x1e2	()
0x1e2	fallback()
0x1e7	balanceOf(address,uint256)
0x21a	supportsInterface(bytes4)
0x24a	setURI(string)
0x26c	name()
0x28e	giveaways(address,uint256)
0x2ae	uri(uint256)
0x2ce	totalSupply()
0x2e4	hasSaleStarted()
0x305	safeBatchTransferFrom(address,address,uint256[],uint256[],bytes)
0x325	balanceOfBatch(address[],uint256[])
0x352	flipClaim()
0x367	renounceOwnership()
0x37c	hasClaimStarted()
0x39d	claimDrop(uint256)
0x3bd	flipSale()
0x3d2	withdrawAll()
0x3da	owner()
0x402	setPrice(uint256)
0x422	symbol()
0x437	getPrice()
0x44d	setApprovalForAll(address,bool)
0x46d	setDropSeries(uint256)
0x48d	checkClaimableQty()
0x4a2	MINT_PRICE()
0x4b9	mintDrops(uint256)
0x4cc	giveawaysToMany(address[])
0x4ec	doggoTokenStatus(uint256)
0x50c	seriesSupply(uint256)
0x52c	isApprovedForAll(address,address)
0x547	0x547
0x575	safeTransferFrom(address,address,uint256,uint256,bytes)
0x595	transferOwnership(address)
0x5b5	dropSeries()
0x665	0x665
0x6b7	0x6b7
0x6ed	0x6ed
0x8c1	0x8c1
0x958	0x958
0xacd	0xacd
0xb03	0xb03
0xf41	0xf41
0xfbf	0xfbf
0x111c	0x111c
0x1470	0x1470
0x1612	0x1612
0x1699	0x1699
0x1731	0x1731
0x1744	0x1744
0x1850	0x1850
0x18e4	0x18e4
0x19ea	0x19ea
0x1bca	0x1bca
0x1c1a	0x1c1a
0x1d3b	0x1d3b
0x1d86	0x1d86
0x1ef1	0x1ef1
0x1fbb	0x1fbb
0x203f	0x203f
0x2054	0x2054
0x20b2	0x20b2
0x20ce	0x20ce
0x214c	0x214c
0x21b6	0x21b6
0x21dd	0x21dd
0x222b	0x222b
0x22d5	0x22d5
0x233a	0x233a
0x2376	0x2376
0x23a0	0x23a0
0x23d5	0x23d5
0x2439	0x2439
0x2456	0x2456
0x2473	0x2473
0x24bc	0x24bc
0x24d5	0x24d5
0x24ee	0x24ee
0x2529	0x2529
0x2584	0x2584
0x25e2	0x25e2
0x2627	0x2627
0x263a	0x263a
0x2668	0x2668
0x267b	0x267b
0x26c3	0x26c3
0x2708	0x2708
0x2752	0x2752
0x2787	0x2787
0x27ab	0x27ab
0x27c3	0x27c3
0x280d	0x280d
0x2839	0x2839
0x2874	0x2874
0x28a1	0x28a1
0x2928	0x2928
0x2944	0x2944
0x29ce	0x29ce
