0xec	0xf6
0xfb	0x104
0x105	0x132
0x12d	0x4b5
0x137	0x140
0x141	0x177
0x17c	0x185
0x186	0x19d
0x198	0x616
0x1e2	0x1eb
0x1ec	0x1f5
0x1f0	0x656
0x20e	0x217
0x218	0x221
0x21c	0x65c
0x264	0x291
0x294	0x29d
0x2a2	0x2ab
0x2ac	0x2b5
0x2b0	0x928
0x2ce	0x2d7
0x2d8	0x2e1
0x2dc	0x92e
0x326	0x32f
0x330	0x339
0x334	0x953
0x37e	0x387
0x388	0x39f
0x3a2	0x3cf
0x3d4	0x3dd
0x3de	0x3e7
0x404	0x40d
0x40e	0x43b
0x440	0x449
0x44a	0x453
0x44e	0xe37
0x508	0x511
0x52f	0x538
0x620	0x626
0xaef	0xaf8
0xaf9	0xb02
0xafd	0x10b4
0xb05	0xb0e
0xb0f	0xb18
0xb1c	0xb25
0xb31	0xb3c
0xb3e	0xb61
0xb43	0xb59
0xb5c	0xb96
0xb6a	0xb75
0xb77	0xb95
0xb7c	0xb92
0xb97	0xbad
0xc78	0xc81
0xc8a	0xc93
0xc9f	0xca9
0xd1e	0xd27
0xd35	0xd4e
0xd42	0xd4d
0xd50	0x32024
0xe66	0xe74
0xe6f	0x3206a
0xe80	0xe86
0xe8b	0xe91
0x10a1	0x10a70x1098
0x10ce	0x10d4
0x112e	0x32090
0x113d	0x1148
0x124d	0x1256
0x63e2	0xb3c
0x6de2	0xb75
0x77e2	0xb95
0x81e2	0xb96
0x8be2	0xd4d
0x95e2	0xd4e
0x9fe2	0x32166
0xb3e2	0x321ac
0xe5e2	0x321d2
0x64410	0x6e410
0x64e10	0x6ee10
0x65810	0x6f810
0x66210	0x70210
0x66c10	0x70c10
0x67610	0x71610
0x68010	0x72010
0x68a10	0x72a10
0x69410	0x73410
0x69e10	0x73e10
0x6a810	0x74810
0x6b210	0x75210
0x6bc10	0x75c10
0x6c610	0x76610
0x6d010	0x77010
0x6da10	0x77a10
0xeb9V0x140	0xecfB0x140
0xef2V0x140	0xf08B0x140
0x5cfV0x140	0x5d8B0x140
0x5ebV0x140	0x612B0x140
0x5f0V0x140	0x60cB0x140
0x60dV0x140	0xe9cB0x140
0xea7V0x140	0xeb2B0x140
0xeb4V0x140	0xed7B0x140
0xee0V0x140	0xeebB0x140
0xed2V0x140	0xf0cB0x140
0xf0dV0x140	0xf23B0x140
0xeedV0x140	0xf0bB0x140
0xdbe2V0x140	0xf0cB0x140
0xd1e2V0x140	0xf0bB0x140
0xfeeV0x140	0xff7B0x140
0x1000V0x140	0x1009B0x140
0x1015V0x140	0x101fB0x140
0xbde2V0x140	0xeb2B0x140
0xc7e2V0x140	0xeebB0x140
0x9ccV0x387	0x9d5B0x387
0xa14V0x387	0xa30B0x387
0xaadV0x387	0xab6B0x387
0xabfV0x387	0xac8B0x387
0xdb3V0x40d	0xdbcB0x40d
0xdefV0x40d	0x32048B0x40d
0xa9e2V0x40d	0x3218aB0x40d
0x4a8V0xeb	0x4b2B0xeb
0x4a8V0x263	0x4b2B0x263
0x6e5V0x293	0x6ebB0x293
0x7d0V0x293	0x7d6B0x293
0x4fe2V0x293	0x68fB0x293
0x795V0x293	0x79eB0x293
0x7a7V0x293	0x7b0B0x293
0x7c2V0x293	0x915B0x293
0x91eV0x293	0x68fB0x293
0x81cV0x293	0x8eeB0x293
0x8a5V0x293	0x8aeB0x293
0x90bV0x293	0x914B0x293
0x8b7V0x293	0x8c0B0x293
0x8cbV0x293	0x8dfB0x293
0x8ecV0x293	0x10980x682B0x293
0x59e2V0x293	0x915B0x293
0x699V0x293	0x923B0x293
0x6820x10a1V0x293	0x10a70x682B0x293
0x1262V0x1133	0x320b2B0x1133
0xefe2V0x1133	0x321f4B0x1133
0x1276V0x1133	0x1281B0x1133
0x1288V0x1267V0x1133	0x12acB0x1267B0x1133
0x12a3V0x1287V0x1267V0x1133	0x128eB0x1287B0x1267B0x1133
0x1293V0x1287V0x1267V0x1133	0x12a8B0x1287B0x1267B0x1133
