0x0	__function_selector__
0x112	()
0x112	fallback()
0x117	mintingFinished()
0x144	name()
0x1d2	approve(address,uint256)
0x22c	totalSupply()
0x255	transferFrom(address,address,uint256)
0x2ce	decimals()
0x2fd	unpause()
0x312	mint(address,uint256)
0x36c	burn(uint256)
0x38f	paused()
0x3bc	decreaseApproval(address,uint256)
0x416	balanceOf(address)
0x463	finishMinting()
0x490	pause()
0x4a5	owner()
0x4fa	symbol()
0x588	transfer(address,uint256)
0x5e2	increaseApproval(address,uint256)
0x63c	allowance(address,address)
0x6a8	transferOwnership(address)
0x72d	0x72d
0x763	0x763
0xbb8	0xbb8
0xe19	0xe19
0xe49	0xe49
0x1509	0x1509
0x1527	0x1527
