0x0	0xd
0xd	0x3b
0x10e	0x122
0xf3	0xfc
0x155	0x168
0x1f3	0x206
0x740	0x78c
0x300	0x314
0x2e5	0x2ee
0x347	0x35a
0x420	0x434
0x405	0x40e
0x4be	0x4d1
0xb42	0xb8e
0x531	0x544
0x790	0x817
0xb9	0xc1
0x149	0x151
0x1bc	0x1c4
0x1e7	0x1ef
0x27a	0x282
0x2ab	0x2b3
0x33b	0x343
0x3a0	0x3a8
0x3cb	0x3d3
0x45b	0x463
0x4b2	0x4ba
0x525	0x52d
0x3b	0x46
0x46	0x51
0x51	0x5c
0x5c	0x67
0x67	0x72
0x72	0x7d
0x7d	0x88
0x88	0x93
0x93	0x9e
0x9e	0xa9
0xa9	0x2a526
0x5aaB0xc5	0x5faB0xc5
0x623B0xc5	0x637B0xc5
0x5faB0xc5	0x602B0xc5
0x9c2B0x2b7	0xa12B0x2b7
0xa3bB0x2b7	0xa4fB0x2b7
0xa12B0x2b7	0xa1aB0x2b7
0xa7eB0x3d7	0xaceB0x3d7
0xaf7B0x3d7	0xb0bB0x3d7
0xaceB0x3d7	0xad6B0x3d7
