0x0	__function_selector__
0x20b	()
0x20b	fallback()
0x210	name()
0x29a	approve(address,uint256)
0x2d2	nominateNewOwner(address)
0x2f5	initiationTime()
0x31c	totalSupply()
0x331	setFeePool(address)
0x352	setSelfDestructBeneficiary(address)
0x373	transferFrom(address,address,uint256)
0x39d	decimals()
0x3c8	terminateSelfDestruct()
0x3dd	transferFromSenderPaysFee(address,address,uint256,bytes)
0x44c	exchangeRates()
0x47d	nominatedOwner()
0x492	setExchangeRates(address)
0x4b3	balanceOf(address)
0x4d4	synthetix()
0x4e9	acceptOwnership()
0x4fe	maxSupplyToPurgeInUSD()
0x513	issue(address,uint256)
0x537	owner()
0x54c	symbol()
0x561	setProxy(address)
0x582	selfDestruct()
0x597	burn(address,uint256)
0x5bb	setTokenState(address)
0x5dc	SELFDESTRUCT_DELAY()
0x5f1	transfer(address,uint256)
0x615	purge(address[])
0x635	transferFrom(address,address,uint256,bytes)
0x6a4	feePool()
0x6b9	transferSenderPaysFee(address,uint256,bytes)
0x722	selfDestructInitiated()
0x737	setMessageSender(address)
0x758	initiateSelfDestruct()
0x76d	transfer(address,uint256,bytes)
0x7d6	selfDestructBeneficiary()
0x7eb	transferSenderPaysFee(address,uint256)
0x80f	currencyKey()
0x841	allowance(address,address)
0x868	transferFromSenderPaysFee(address,address,uint256)
0x892	tokenState()
0x8a7	triggerTokenFallbackIfNeeded(address,address,uint256)
0x8d1	proxy()
0x8e6	setTotalSupply(uint256)
0x8fe	setSynthetix(address)
0x91f	0x91f
0xb45	0xb45
0xd60	0xd60
0x119e	0x119e
0x15fa	0x15fa
0x1791	0x1791
0x197c	0x197c
0x1c54	0x1c54
0x1df2	0x1df2
0x1eac	0x1eac
0x211d	0x211d
0x2535	0x2535
0x2899	0x2899
0x2c5d	0x2c5d
0x2edf	0x2edf
0x31f5	0x31f5
0x34ea	0x34ea
0x363f	0x363f
0x36f2	0x36f2
0x3863	0x3863
0x39aa	0x39aa
0x39c1	0x39c1
0x3bf7	0x3bf7
0x3c10	0x3c10
0x3d12	0x3d12
0x3e52	0x3e52
0x3f2c	0x3f2c
0x4006	0x4006
0x40e0	0x40e0
0x42fc	0x42fc
